conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Paslon,Debat
1737447940040651075,Wed Dec 20 13:46:40 +0000 2023,21,CAPRES KARBITAN LANGGAR HAM UDH TUA GAGAL SBH MENHAN CAWAPRES KARBITAN ANAK HARAM KOSNTUTUSI RAKYAT JGN MAU DIBODOHI 400 T MAKAN SIANG 1X &amp; SUSU 1X U BEBERAPA JT ANAK &amp; IBU HAMIL DANANYA AMBIL DR BANSOS PENDIDIKAN &amp; KESEHATAN INI PROGRAM TOLOL RAKYAT DIBODOHIN RAKYAT https://t.co/fNWVHaf7Ut,1737469569176846797,https://pbs.twimg.com/ext_tw_video_thumb/1737469389245485058/pu/img/m0aj1vhz1zkOZs1B.jpg,Ganjar_Mahfud03,in,Indonesia,3,1,19,https://x.com/Ganjar_Mahfud03/status/1737469569176846797,1637841258231271424,Ganjar_Mahfud03,Anies,Debat 1
1737467088628031893,Wed Dec 20 13:36:49 +0000 2023,1,dunia kau apa anis https://t.co/Ca4iKVSsq0,1737467088628031893,https://pbs.twimg.com/media/GBy5GtEboAAZb1R.jpg,,in,kuala lumpur,0,0,0,https://x.com/sallymendess/status/1737467088628031893,1013719022070784005,sallymendess,Anies,Debat 1
1737449639903895669,Wed Dec 20 12:27:29 +0000 2023,3,TERLALU GEMAS https://t.co/aw17yMq9HT,1737449639903895669,https://pbs.twimg.com/media/GBypOVmbsAAUg7u.jpg,,in,SWORD-chiku,0,0,0,https://x.com/ddorokking/status/1737449639903895669,1461252872050380800,ddorokking,Anies,Debat 1
1737453298465312907,Wed Dec 20 12:42:01 +0000 2023,0,perkara mereview perpaduan oatside x matcha https://t.co/0aHFDJoN78,1737453298465312907,https://pbs.twimg.com/media/GByskGbbgAAUEBd.jpg,,in,no minor ,1,0,0,https://x.com/sancouvers/status/1737453298465312907,965403044,sancouvers,Anies,Debat 1
1737447940040651075,Wed Dec 20 12:20:43 +0000 2023,88,JANJI MAKAN SUSU GRATIS RAKYAT DIBODOHI DGN JANJI GA REALISTIS 400 T SETH NAIKKAN PAJAK / NAMBAH BUTANG LN? MEMBERATKAN RAKYAT MAKAN SUSU 1X GA KENYANG &amp; JD KOTORAN (TAI) GA ENTASKAN KEMISKINAN PROGRAM U KORUPSI BESAR2 AN SJ KAN SDH ADA BANSOS BLT DLL U RAKYAT MISKIN https://t.co/mU27VcqjhA,1737447940040651075,https://pbs.twimg.com/ext_tw_video_thumb/1737447686855639040/pu/img/rebWTx-Anh9xM2-Z.jpg,,in,Indonesia,4,15,57,https://x.com/Ganjar_Mahfud03/status/1737447940040651075,1637841258231271424,Ganjar_Mahfud03,Anies,Debat 1
1737421691138306131,Wed Dec 20 10:36:25 +0000 2023,0,please la bila nak jumpa anis ni nak main make up make up sesama nak borak panjang panjang i miss her so badd wehh istg sumpah nak nangisss aku rindu diaa️️ https://t.co/S0CmvdRTSw,1737421691138306131,https://pbs.twimg.com/media/GByP0iEakAAUw1t.jpg,,in,,0,1,0,https://x.com/tripplenamea/status/1737421691138306131,1606087776432447488,tripplenamea,Anies,Debat 1
1737449579279462580,Wed Dec 20 12:27:14 +0000 2023,0,berhasil mancing anis bikin fekcet,1737449579279462580,,,in,,0,1,0,https://x.com/cumsoxx/status/1737449579279462580,1266694365801373699,cumsoxx,Anies,Debat 1
1737446688120529146,Wed Dec 20 12:15:45 +0000 2023,2,babila ada housemate yg takde common sense ni time waktu orang nak gi kerja la kau sibuk nk mandi dahtu time tu jgk kau nak mandi lama nk cuci segala celah cipap kau tu aishh aku geram sungguh,1737446688120529146,,,in,,0,0,0,https://x.com/anisarffn/status/1737446688120529146,981928678635462656,anisarffn,Anies,Debat 1
1737445963902615826,Wed Dec 20 12:12:52 +0000 2023,0,Buka twt gaada taehyun tutup lagi melamun memikirkan masa depan halusinasi tidur buka twt lagi gaada taehyun tutup mikirin dia jadi zombie... Ini lama lama gue yang jadi zombie,1737445963902615826,,,in,mars,0,0,0,https://x.com/mystaerry/status/1737445963902615826,1250255627500191744,mystaerry,Anies,Debat 1
1737402316251357527,Wed Dec 20 09:19:26 +0000 2023,1,Ok some of bloggers sangat membantu. Aku dah malas nak blog. Dan cerita paling dapat byk soalan masa cabut gigi geraham secara pembedahan. Pergh...jagalah gigi kamu sebab gigi ni mahal kosnya..,1737402316251357527,,,in,Malaysia,0,0,0,https://x.com/ku_Neng/status/1737402316251357527,254567594,ku_Neng,Anies,Debat 1
